uf,state_name,area_km2,share_brazil_percent
AM,Amazonas,1559167.889,18.321
PA,Pará,1245870.798,14.64
MT,Mato Grosso,903207.019,10.613
MG,Minas Gerais,586521.123,6.892
BA,Bahia,564760.427,6.636
MS,Mato Grosso do Sul,357145.534,4.197
GO,Goiás,340203.329,3.998
MA,Maranhão,329642.182,3.873
RS,Rio Grande do Sul,281707.156,3.31
TO,Tocantins,277466.763,3.26
PI,Piauí,251756.515,2.958
SP,São Paulo,248219.481,2.917
RO,Rondônia,237765.24,2.794
RR,Roraima,223644.527,2.628
PR,Paraná,199298.979,2.342
AC,Acre,164123.964,1.929
CE,Ceará,148894.441,1.75
AP,Amapá,142470.762,1.674
PE,Pernambuco,98067.881,1.152
SC,Santa Catarina,95730.684,1.125
PB,Paraíba,56467.242,0.664
RN,Rio Grande do Norte,52809.602,0.621
ES,Espírito Santo,46074.447,0.541
RJ,Rio de Janeiro,43750.427,0.514
AL,Alagoas,27848.14,0.327
SE,Sergipe,21925.424,0.258
DF,Distrito Federal,5760.783,0.068
